book_id,num_reviews,avg_rating,title
0915463385,4,5.0,ONE EYED DREAM
1560974648,4,5.0,"Rebel Visions: The Underground Comix Revolution, 1963-1975"
0964202042,28,4.269230769230769,Before You Think Another Thought: The Mechanics of Thought
B0006XQ082,1,5.0,Handbook of pipeline engineering computations
B00087U6VS,8,2.857142857142857,Woman's life in colonial days (American classics)
0340630426,1,5.0,Helen Steiner Rice: Ambassador of Sunshine
0631207554,1,3.0,Bonds and Bond Derivatives (Science Biographies)
0881603805,8,4.5,"The Learning Works: Prefixes and Suffixes, Grades 4-8: Teaching Vocabulary to Improve Reading Comprehension"
0060550546,2,5.0,New sounds: A listener's guide to new music
0811206092,2,4.0,The Wisdom of the Zen Masters
1557429227,64,3.828125,How to Write and Speak Correctly
B0006DWYL4,8,4.5,The Magic Orange Tree and Other Haitian Folktales
0393039692,2,5.0,Writing on the Job: A Norton Pocket Guide
0521802644,1,5.0,"Theatre, Society and the Nation: Staging American Identities (Cambridge Studies in American Theatre and Drama)"
0871238179,3,2.6666666666666665,"The Wishing Star (The Starlight Trilogy, Book 1)"
0486275523,8,4.875,The Beast in the Jungle and Other Stories (Dover Thrift Editions)
0711919593,1,5.0,Roger Waters: Pros Cons of Hitch Hiking
B00005X3WB,2,5.0,Voices of a Summer Day
B0007J6LKM,2,5.0,"Anything can happen, (The Alice and Jerry basic reading program parallel first reader)"
B0006E2VNY,10,4.5,Bread and Wine (Greatest Books of the 20th Century)
0756607558,4,4.5,Superdate
1591975298,1,4.0,Japanese Americans (One Nation Set 2)
0901539341,1,5.0,On the Duties of Brotherhood
0738533904,3,4.333333333333333,Iranians in Chicagoland (IL) (Images of America)
1575213893,14,3.357142857142857,Java 1.2 Unleashed
B000O3QCVO,3,3.6666666666666665,Nebula Awards Showcase 2006
B0006ADTXO,1,5.0,"Autobiography of a slander, (Modern English writers)"
B000MU83M0,6,4.5,"The Everything Coaching and Mentoring Book: How to Increase Productivity, Foster Talent, and Encourage Success (Everything Series)"
B00007FY9D,38,2.0789473684210527,Microsoft Windows Architecture for Developers Training Kit
0876309988,1,4.0,"Response to Disaster: Psychosocial, Community, and Ecological Approaches (Series in Clinical and Community Psychology)"
0897501209,1,3.0,Bruce Lee: The Incomparable Fighter
0689503601,3,4.333333333333333,Colsec Rebellion
B000GLIJ60,1,5.0,The Hatter's Phantoms
B000P1E55K,1,5.0,A pail of oysters.
1420832786,3,5.0,The Gift of Reiki
B000MWDSK0,38,3.8947368421052633,ABOVE AND BEYOND
0786280689,2,4.0,McKeag's Mountain
0070595801,1,4.0,"Nautical Knots and Lines Illustrated: The Essentials of Smart Line Handling, Knotting, and Splicing-In Color"
0765805057,1,4.0,The Universe of Experience: A Worldview beyond Science and Religion
0385489633,14,4.428571428571429,Gift and Mystery
8474230152,1,4.0,Eurocomunismo y estado (Temas hispanicos) (Spanish Edition)
1569800383,1,5.0,The Credit Card Catastrophe: The 20th Century Phenomenon That Changed the World
1579590012,3,2.6666666666666665,Creating Space: Essential Home Organization
B000P1D9UW,1,5.0,"Cronica del Alba (Edited with Introduction, Notes, and Vocabulary)"
B0007J1MNI,1,3.0,"International law,: A treatise"
0873493486,8,4.125,"The Ultimate Guide to Hot Wheels Variations: Identification and Price Guide to More Than 2,000 Collector Number Packs!"
157486176X,3,5.0,Tokens of Affections - Counted Cross Stitch Pattern Book
0310227747,3,3.6666666666666665,"Brief Guide to Ideas, A"
0312902980,4,4.75,Practice to Deceive - The Golden Chronicles #1
B000EY1O3O,1,5.0,The Collected Poems of A. E. Housman
1570362084,1,5.0,The Best of Larry King Live: The Greatest Interviews
B000874HTU,2,4.0,A short history of Germany;
B0006BVZJI,9,4.888888888888889,"Winning declarer play,"
B000HWI3L4,1,5.0,Star Trek: Federation
0312991819,10,3.6,The Command: A Novel (Dan Lenson Novels)
0471354880,28,4.75,Another One Bites the Grass: Making Sense of International Advertising
0972626271,7,5.0,Book the Job: 143 Things Actors Need to Know to Make It Happen
1930429487,17,4.882352941176471,How to Discipline Kids without Losing Their Love and Respect
B000ELOHH2,1,5.0,Playboy Magazine May 2004
0671535315,2,5.0,Bound by Love
B0007BDTNM,3,3.6666666666666665,Manuel Alvarez Bravo
0793514789,23,4.521739130434782,The Elton John Keyboard Book
B0007F8QDQ,1,4.0,Manual of ski mountaineering
0517884054,6,5.0,"The Harmony Guide to Aran and Fair Isle Knitting: Patterns, Techniques and Stitches"
B000K9UV8C,187,4.52972972972973,Desert Solitaire: A Season in the Wilderness
0515077380,1,5.0,Corregidor: The Stirring Story of a Mighty Fortress
156158424X,10,4.9,"Care and Repair of Shop Machines: A Complete Guide to Setup, Troubleshooting, and Maintenance"
0837300533,1,1.0,Assistant Train Dispatcher (Career Examination Series : C-53)
0870116061,76,4.5,Hagakure
B000EVD7ZK,1,5.0,EPA/625/6-91/030 Handbook: Sewer System Infrastructure Analysis and Rehabilitation
B00086JNPE,7,3.7142857142857144,"The art of massage,: A practical manual for the nurse, the student and the practitioner"
B00007FYA5,9,3.111111111111111,Developing Visual Basic Add-ins
0710305265,1,4.0,Ideology and Economic Reform Under Deng: 1978-1993
0060937688,6,3.5,Planet of the Apes: (Jr Novel)
0762405333,1,4.0,Large-print Crosswords Challenge 10
0880706678,1,5.0,What Every Mother Needs to Know about Babies
B000IOF1JI,15,4.466666666666667,How Much Is Enough? Harness the Power of Your Money Story--And Change Your Life
B0007J2IJ0,3,4.666666666666667,"The doctrine of God,"
093678346X,6,5.0,"\"Marriage Works: Before You Say \"\"I Do\"\"\""
0439394708,2,4.0,Jaguar
B000MU83NE,67,4.257575757575758,Simple Abundance Journal of Gratitude
B000NPI2EI,3,4.0,Call Me Charley
B00007FY9M,13,1.6153846153846154,Server+ Study Guide
0761901450,3,5.0,I Am Not Your Victim: Anatomy of Domestic Violence (SAGE Series on Violence against Women)
1421934558,2,4.5,The Nile Tributaries of Abyssinia
9562910334,1895,4.562632696390658,1984
B000OVGBGC,2,4.5,Witches' Sabbath
1563971291,1,4.0,Big Band Sound
0933346808,3,5.0,The Deep Sky: An Introduction (Sky & Telescope Observer's Guides)
B000PKBWF2,4,5.0,The Pirate
B000K0373M,284,4.173144876325089,"The One Minute ( -01) Manager - Increase Productivity, Profits, And Your Own Prosperity"
B000IY9OTQ,1,5.0,Travel and Travellers of the Middle Ages
1589630629,1,5.0,Wee Willie Winkie
1559701315,2,1.5,"Mary, Mary"
0967038693,2,4.5,Love Rekindled: A Novel
0691115109,6,3.4,Islam and Mammon: The Economic Predicaments of Islamism
0500282676,1,4.0,Cool Construction (4x4 Series)
8475174051,1,5.0,El poema en prosa en Hispanoamerica: Del modernismo a la vanguardia : estudio critico y antologia (Poesia Hiperion) (Spanish Edition)
1889243000,6,4.833333333333333,Slot Machines: A Pictorial History of the First 100 Years
0446607924,4,3.75,Merlin: The End of Magic - Part 3 (Merlin (Warner))
0807731714,3,5.0,The Play's the Thing: Teachers' Roles in Children's Play (Early Childhood Education Series (Teachers College Pr)) (Early Childhood Education (Teacher's College Pr))
B0006CAPNY,4,5.0,Orthotherapy
B0007J7HQO,8,4.25,The Absolute at Large
0373692129,2,5.0,Really Hot! (Harlequin Temptation)
0883681536,12,4.166666666666667,Experiencing God Through Prayer
B000IOF13O,2,4.0,Sea Wolf of the Confederacy: The Daring Civil War Raids of Naval Lt. Charles W. Read
B0007E2AGQ,3,4.333333333333333,The Art of Cooking Omelettes
3906726029,3,5.0,The Psychology of Spirituality: From Divided Self to Integrated Self
0847823598,2,5.0,Mysteries of the Desert
2080112570,3,4.666666666666667,Palaces and Gardens of Persia
0807825700,3,4.0,Tender Violence: Domestic Visions in an Age of U.S. Imperialism (Cultural Studies of the United States)
B0001BJEC8,20,4.25,Minority Report and Other Stories (Unabridged Stories)
1580627579,6,3.5,"A New You: Words to Soothe the Body, Mind, and Spirit"
0226288447,5,4.6,"Getting It Published: A Guide for Scholars and Anyone Else Serious about Serious Books (Chicago Guides to Writing, Editing, and Publishing)"
0786174994,7,4.142857142857143,Bette (Women of Ivy Manor Series #2)
B000GLIJ56,2,3.5,Poems of Power
0802130283,3,3.6666666666666665,House of Games
0954412117,3,5.0,Soldier of the Queen
0806520574,5,3.6,"Take My Wife, Please: Henny Youngman's Giant Book of Jokes"
0373255888,5,5.0,Dear John... (Harlequin Temptation)
0708930395,2,5.0,Alley Urchin
0764318926,14,4.214285714285714,"The Unofficial Guide to the Art of Jack T. Chick: Chick Tracts, Crusader Comics, And Battle Cry Newspapers (Schiffer Books)"
0590413449,1,4.0,John Fitzgerald Kennedy: America's 35th President (Scholastic biography)
B000GJHK94,1,3.0,Porsche Cayenne
0943373395,1,5.0,Lorine Niedecker: Woman and Poet (Modern Poet Series)
0613286332,24,4.7272727272727275,Scholastic Dictionary of Spelling
080784232X,5,4.4,Within the Plantation Household: Black and White Women of the Old South (Gender and American Culture)
0595653650,2,5.0,The Gnashing of Teeth
0822516292,1,2.0,Hoaxes (The Unexplained)
1593375794,12,4.166666666666667,The Everything Texas Hold 'Em Book: Tips And Tricks You Need to Take the Pot (Everything (Hobbies & Games))
0891457054,3,5.0,Collector's Guide to TV Memorabilia 1960s & 1970s: Identification and Values (Collector's Guide to TV Toys & Memorabilia)
1581346506,21,4.095238095238095,"ESV Thinline Bible, Genuine Leather, Black, Black Letter"
1565047265,4,4.0,Kithbook: Sluagh (Changeling: The Dreaming)
8122307418,1,3.0,Osama Bin Laden
B0006X5ARE,1,5.0,"Tenure in museums (Research paper - Management in the Arts Research Program, Graduate School of Management, UCLA)"
0595214215,2,3.0,"At The Heart of Your Long Distance Relationship: Love deeply, live fully, and grow closer together from near or far."
0062736914,1,5.0,"Dunnan's Guide to Your Investment$ 2000: The Year-Round Investment Sourcebook for Managing Your Personal Finances (Dunnan's Guide to Your Investments, 2000)"
B000PHTCGG,4,4.25,Seance
B000NXCWOQ,10,4.6,RETRIEVER TRAINING FOR THE DUCK HUNTER
0964896818,3,1.0,Holy War Online: A Debate in Cyberspace
B0007FDG1S,6,5.0,George Mueller
0373785518,29,4.481481481481482,"SAHM I Am (Life, Faith & Getting It Right #8) (Steeple Hill Cafe)"
1419179802,3,4.333333333333333,The Rape Of The Lock And Other Poems
B000O2VTWW,5,4.8,Matthew Poole's Commentary on the Holy Bible - Set
0143031724,1,3.0,The Dum Dum Bullet: Adventure of a Corporate Soldier
0385501544,23,4.608695652173913,The Last Empire: Essays 1992-2000
B000FZEKYW,1,5.0,Split Connection
B00069XWK0,1,3.0,"Sir Marrok;: A tale of the days of King Arthur, (St. Nicholas Books)"
B000QA78ZY,1,5.0,"Microwave Equipment Catalog, C4: Demornay-Bonardi"
1585008621,10,4.3,"Sugars and Flours: How They Make us Crazy, Sick and Fat, and What to do About It"
1592761836,1,5.0,On That First Christmas Eve
B000FQ4HH6,9,4.222222222222222,The Complete Probate Kit
B0006D6DRK,10,3.7,"Open marriage;: A new life style for couples,"
1574900072,21,3.619047619047619,The Night Horseman (Sagebrush Largeprint Westerns)
B000N706EK,2,5.0,"Time To Get Up, Time To Go"
1841811238,26,4.730769230769231,Winter Solstice
063115101X,1,2.0,Darwinism and Divinity: Essays on Evolution and Religious Belief
B00072FFVU,1,5.0,Baby's Mother Goose (Luvs Baby Library)
B0006ORXNW,1,5.0,Single again: Life after divorce (Serendipity support group series)
B00086DSPU,1,5.0,"Celtic wonder tales,"
1558746137,5,5.0,"Fun Facts About Dogs: Inspiring Tales, Amazing Feats, Helpful Hints"
B000K0922M,1,4.0,Great Irish Detective Stories
0439763096,11,4.545454545454546,I Spy: 4 Picture Riddle Books (School Reader Collection Lvl 1: (Scholastic Reader Collection)
B0008AXMXO,1,1.0,The model stock plan
1414307381,4,4.75,Let's Roll!
B000OU68XO,3,4.0,The Weapon Makers (2536 New English Library Science Fiction)
0382321839,1,5.0,World Geography (People in time and place)
B000N65GDC,2,5.0,Screams From Childhood
B000J46FHE,1,4.0,Oldsmobile The First Seventy-Five Years
0670590630,26,4.423076923076923,The Rebel Angels
0967509904,1,5.0,Sustainable Cuisine: White Papers
1860744354,1,5.0,100 Tips for Drums (100 Tips S.)
B000N761X0,10,4.4,The Lives of Rocks
B0006WELIE,6,4.833333333333333,The nobility of failure: Tragic heroes in the history of Japan
B00007FYBC,6,4.833333333333333,Tech Ref
8401322413,7,4.428571428571429,Cienfuegos (Exitos) (Spanish Edition)
B000NZQHBI,14,4.285714285714286,King of the Gypsies
B000PS2WSK,3,4.666666666666667,American Indian Medicine (Civilization of the American Indian Ser.)
B000LCX1P8,1,5.0,Time Magazine November 22 1976 TV's Super Women Charlie's Angels
1931761795,6,4.666666666666667,Love's Second Sight
3931141748,5,2.4,The Erotic Lives of Women
0521294215,1,5.0,"A History of Greek Philosophy: Volume 2, The Presocratic Tradition from Parmenides to Democritus"
B000GQHVS2,15,4.214285714285714,"The Fourth Dimension, Vol. 2"
B0007PC4Z2,176,3.25,The Secret History of the Pink Carnation
B0006P2T4E,4,3.25,The complete guide to medicine ball training
B0006WZD54,13,4.615384615384615,Woodcraft
B000NGOYA8,1,4.0,Microwave Cooking from Litton: Microwave Cooking Made Easy
0753113821,3,4.0,The Constant Nymph
B000MREGHE,10,3.7,Golden Secrets of Mystic Oils (Revised edition)
0820438308,1,5.0,"Liquid Fire (Early American Literature and Culture Through the American Renaissance, 2)"
B000HWYSA4,4,3.0,Pbs Straight Talk Stock Invest
B000E3E61M,72,4.597222222222222,The Other Side Of Midnight
B000I19JPI,1,5.0,Eyes of Laura Mars
B000FQ4HDK,21,4.571428571428571,"The Maverick and His Machine: Thomas Watson, Sr. and the Making of IBM"
B000H09JFU,1,5.0,Small and Miniature Turning
0877972818,3,5.0,Then Sings My Soul
B0006DM4E6,52,4.019230769230769,Professional collection catalog
0439399629,10,4.8,The Pledge of Allegiance
0595256082,1,4.0,Inheriting Scotland
0201708957,12,4.416666666666667,Creative Projects with LEGO Mindstorms
5553679354,22,4.681818181818182,Diary of a Mad Housewife
0810354772,1,5.0,Holidays and Anniversaries of the World
0801482984,1,5.0,Animal Minds and Human Morals: The Origins of the Western Debate (Cornell Studies in Classical Philology)
0886462428,1,5.0,A Collection of Favorite Poetry
1557424365,13,3.923076923076923,Joseph Andrews
0824518985,2,5.0,The Matrix of Faith: Reclaiming a Christian Vision
0340525312,1,4.0,Mountains of Heaven Travels In the Tian
074323054X,4,3.75,Unofficial Biased Insider's Guide to the 320 Most Interesting Colleges
B0006BR0PG,6,5.0,"House of bondage,"
B0006BMX08,3,5.0,The ethics of psychoanalysis;: The theory and method of autonomous psychotherapy
0873588002,9,5.0,52 Great Weekend Escapes in AZ Sc
0471192627,6,4.166666666666667,"A Dose of Sanity: Mind, Medicine, and Misdiagnosis"
B000KWDVVI,83,3.963855421686747,Pushing Ice
B00088WC14,2,5.0,Some thoughts concerning education
1930110545,9,3.4444444444444446,.NET Multithreading
0802710999,10,2.5,Uncle Sam's Brides: The World of Military Wives
B0006DH5W2,38,3.972972972972973,Food choices and diet quality for women with different levels of beef intake (Technical bulletin)
B000HX3TQM,1,5.0,Applique Style the Best of Contemporary Design...
0425199185,29,4.035714285714286,"The Demon's Daughter (Tales of the Demon World, Book 1)"
B0007EN06A,2,5.0,Thine Is My Heart;: Devotional Readings From the Writings of John Calvin
0897501241,10,3.5,"Wing Chun Kung Fu/Jeet Kune Do: A Comparison, Volume 1 (Literary Links to the Orient)"
0743417909,8,4.75,Abandon (Sonnet Books)
B0006QTSPG,2,2.0,"\"Monterey's cooking secrets: Whispered recipes and guide to restaurants, inns and wineries of the Monterey Peninsula (Books of the \"\"secrets\"\" series)\""
1588518396,2,5.0,I Want to Marry Godzilla and Have His Children
0886463009,1,3.0,A Perry Mason Mystery: The Case of the Curious Bride/Audio Cassettes
B000HEGYW2,653,4.612654320987654,East of Eden
091667021X,1,5.0,Pittsburgh's Bridges: Architecture and Engineering
B00007FYB9,5,4.4,Bad Software: What to Do When Software Fails
0875847870,3,4.333333333333333,Technology Integration: Making Critical Choices in a Dynamic World (Management of Innovation and Change)
1860340636,1,4.0,SIMPLE GT SIKHISM-PB-OP (Simple Guides)
B000MU838Y,10,4.6,Cleaning and the Meaning of Life : Simple Solutions to Declutter Your Home and Beautify Your Life
0786197064,30,2.6,Jane Austen's Charlotte
0310338301,8,4.0,Men & Women: Enjoying the Difference
0671001302,17,3.9411764705882355,Signature Killers
0735524092,2,4.0,"Wills, Trusts & Estates: Examples & Explanations, Second Edition (Examples & Explanations Series)"
B00087VY9Q,1,1.0,"Billiards without a master,"
B000OWJK78,5,5.0,Radical Cure
B000O2VTJA,1,5.0,The Prophecies of Daniel
0590523457,7,4.714285714285714,Stacey's Problem (Baby-Sitters Club Friends Forever)
1888799749,1,5.0,Growing Up with Epilepsy
0872862941,5,4.2,"First World, Ha, Ha, Ha!"
0525469451,2,4.5,Winnie-the-Pooh's 2003 Calendar
B0006VZVAM,4,4.25,"The troll garden, (A plume book)"
0449002349,12,4.75,Best Laid Schemes (Regency Romance)
B00072EJQC,1,3.0,Adviser's guide to painless yearbooking
1878975072,2,4.0,Finance in Continuous Time
0805055959,4,3.5,Boys Themselves: A Return to Single-Sex Education
B0007DQIOC,4,4.75,One is one
076453890X,23,3.869565217391304,Frommer's South Africa
B0007EH5IY,3,4.0,"The adventures of Big-Foot Wallace,: The Texas ranger and hunter"
0140860096,1340,4.350261389096341,Of Mice and Men (Penguin Audiobooks)
B0006YVDPQ,6,5.0,Theory of functions of a complex variable
0741410303,7,5.0,A Handbook for Heretics
0042300134,1,5.0,Reason and Belief
1568954530,3,3.3333333333333335,The Collected Stories
B0001GDR0S,7,4.142857142857143,The Big Bing: Theories on the Origins of the Business Universe
0966844408,9,4.666666666666667,"Killer on the Loose, The True Story of Serial Killer Raymond Lee Stewart"
B000OTR92Y,6,4.166666666666667,Understanding The Law
B0007B50T8,2,3.5,How to catch salmon: Advanced techniques
B00007FY9H,4,5.0,Visual Basic Annotated Archives: Annotated Archives
0393035379,12,4.833333333333333,The Ship That Stood Still: The Californian and Her Mysterious Role in the Titanic Disaster
B00007FYAA,4,3.0,Acrobat PDF and Workflow InDetail
0590528351,6,4.333333333333333,A Boy Named Boomer (Hello Reader! Level 3)
9628685899,1,5.0,LUXE City Guides: Hong Kong & Macau
B0006BR0HY,1,4.0,File on Spratling;: An autobiography
0060629150,21,3.6666666666666665,The Coming of the Cosmic Christ: The Healing of Mother Earth and the Birth of a Global Renaissance
B000OV7IXW,30,4.714285714285714,Where Angels Walk
141200392X,4,5.0,Natural Harmony: Jade's Story
B0006W83VA,1,5.0,The Cosmic Decoy (Perry Rhodan #21)
B000BUJ5AK,1,1.0,"Run Wild, Run Free"
